geography_level_1,geography_level_2,geography_level_2_bg
northeastern,SHU10,Върбица
northcentral,SLS10,Дулово
southwestern,SFO18,Етрополе
northwestern,VID03,Бойница
southeastern,JAM03,Болярово
southcentral,PAZ14,Лесичово
southcentral,SML05,Борино
southcentral,SML16,Мадан
northwestern,PVN27,Пордим
southcentral,HKV18,Маджарово
southeastern,JAM07,Елхово
northwestern,VRC05,Борован
southeastern,SZR22,Мъглиж
northeastern,SHU07,Венец
northcentral,SLS32,Ситово
northwestern,VRC35,Хайредин
northwestern,MON11,Вълчедръм
southcentral,PAZ29,Септември
northeastern,VAR09,Вълчидол
northwestern,VID15,Грамада
southwestern,SFO09,Годеч
northeastern,SHU18,Каолиново
southeastern,SZR04,Братя Даскалови
southcentral,PAZ06,Брацигово
southwestern,BLG44,Симитли
northwestern,PVN39,Кнежа
southwestern,KNL50,Трекляно
northwestern,PVN08,Гулянци
northwestern,PVN37,Червен Бряг
northcentral,RAZ11,Завет
northwestern,MON07,Брусарци
southcentral,PDV23,Първомай
southwestern,BLG28,Кресна
southeastern,SZR12,Казанлък
northeastern,VAR13,Долни Чифлик
northwestern,VRC20,Козлодуй
southcentral,HKV32,Тополовград
northwestern,LOV33,Тетевен
northwestern,PVN11,Долни Дъбник
northeastern,VAR05,Бяла (Варна)
northcentral,VTR32,Сухиндол
southcentral,HKV30,Стамболово
southcentral,SML18,Неделино
southwestern,KNL31,Невестино
southcentral,HKV28,Свиленград
northeastern,SHU21,Никола Козлево
northwestern,LOV02,Априлци
southwestern,BLG49,Струмяни
southeastern,BGS27,Приморско
northcentral,RAZ17,Лозница
northcentral,RSE05,Ветово
northwestern,MON14,Георги Дамяново
southwestern,SFO34,Правец
northwestern,VID30,Ново Село
southeastern,SZR36,Чирпан
southeastern,BGS08,Камено
southcentral,SML27,Рудозем
northwestern,VRC28,Мизия
northcentral,SLS15,Кайнарджа
northwestern,VID25,Макреш
northcentral,GAB12,Дряново
northcentral,VTR06,Горна Оряховица
northwestern,VID37,Чупрене
northeastern,SHU19,Каспичан
northcentral,VTR26,Полски Тръмбеш
northwestern,MON12,Вършец
southeastern,BGS21,Созопол
northwestern,VRC31,Оряхово
southwestern,SFO25,Костенец
northwestern,VID22,Кула
northwestern,LOV36,Угърчин
northeastern,TGV23,Опака
southcentral,PDV33,Съединение
northcentral,VTR14,Златарица
northwestern,LOV17,Летница
southeastern,SZR37,Гурково
southwestern,SFO06,Божурище
southcentral,PDV42,Куклен
northeastern,VAR14,Девня
northcentral,VTR20,Лясковец
northwestern,MON24,Лом
southwestern,SFO59,Долна Баня
northwestern,VRC32,Роман
northwestern,PVN23,Искър
northwestern,MON38,Якимово
southcentral,PAZ24,Ракитово
northeastern,SHU23,Велики Преслав
southcentral,HKV29,Симеоновград
southwestern,SFO55,Пирдоп
southwestern,PER22,Ковачевци
southeastern,SZR38,Николаево
northcentral,RAZ36,Цар Калоян
southwestern,SFO47,Златица
southcentral,PDV41,Стамболийски
southcentral,PAZ21,Пещера
southwestern,SFO24,Копривщица
southcentral,PDV39,Кричим
southcentral,PAZ39,Сърница
southwestern,KNL41,Сапарева Баня
southwestern,KNL38,Рила
southcentral,PDV40,Перущица
southwestern,SFO57,Чавдар
southwestern,SFO58,Челопеч
